iter	RMSE
0	0.6011587652
1	0.6004162476
2	0.5996997932
3	0.599276749
4	0.5956887721
5	0.5952560479
6	0.5947909693
7	0.5943277979
8	0.5914233863
9	0.5908936739
10	0.5905284046
11	0.5900218277
12	0.5896238344
13	0.5892550783
14	0.5883386909
15	0.5875979397
16	0.5871006853
17	0.586512826
18	0.5863158924
19	0.5859561609
20	0.5850140612
21	0.5820715971
22	0.5817532151
23	0.5814077682
24	0.5808104952
25	0.5805863594
26	0.5801214306
27	0.5774506211
28	0.5770937166
29	0.5768190822
30	0.5763669501
31	0.5741820267
32	0.5738673876
33	0.5733860537
34	0.572714879
35	0.5703260214
36	0.567109217
37	0.5666447151
38	0.5661256792
39	0.5639778085
40	0.5632272997
41	0.5628898666
42	0.5618087988
43	0.5604498439
44	0.559689408
45	0.5582631265
46	0.5579916356
47	0.5571158036
48	0.5568863727
49	0.5567209554
50	0.5564264475
51	0.5562890284
52	0.555381059
53	0.5548827916
54	0.5527571357
55	0.5510037405
56	0.5493608223
57	0.5480556487
58	0.5460663364
59	0.5458670271
60	0.5454751715
61	0.5441711019
62	0.5436482258
63	0.5419006732
64	0.5417349216
65	0.5416179842
66	0.5385859141
67	0.5384496119
68	0.5368024255
69	0.536706449
70	0.5365953033
71	0.5363753692
72	0.5362103669
73	0.5347593547
74	0.5300528973
75	0.5288718124
76	0.5286322817
77	0.5280433259
78	0.527772761
79	0.5252752138
80	0.5242559203
81	0.5241032294
82	0.5238710575
83	0.5237222737
84	0.5234755674
85	0.5224866857
86	0.5223304935
87	0.5222042876
88	0.5219476898
89	0.5218482115
90	0.5217253385
91	0.5216459329
92	0.5215284965
93	0.5211632641
94	0.5210742751
95	0.5209037783
96	0.5207547329
97	0.5206317869
98	0.5205540358
99	0.5204853495
100	0.5204290973
101	0.5202882855
102	0.5201841962
103	0.5201020529
104	0.5200298462
105	0.5199430119
106	0.5189919382
107	0.5187156763
108	0.5169299978
109	0.5167931143
110	0.5167022219
111	0.5145669862
112	0.5145164267
113	0.5144547429
114	0.5142991577
115	0.5140506799
116	0.5139924572
117	0.5139235663
118	0.5136955678
119	0.5136406835
120	0.5135257815
121	0.5119852065
122	0.5118594322
123	0.5105552795
124	0.5103445892
125	0.5102832828
126	0.5091007895
127	0.5081685387
128	0.507558418
129	0.5074132429
130	0.5072183231
131	0.5053838043
132	0.5038233726
133	0.5037864229
134	0.5037396459
135	0.5023658805
136	0.500789612
137	0.4998432427
138	0.4982139394
139	0.4971087973
140	0.4970679542
141	0.4936752802
142	0.492740504
143	0.4916709552
144	0.490780345
145	0.4903993066
146	0.4896037024
