iter	Passed	Remaining
0	23	47049
1	52	52572
2	67	45139
3	96	47988
4	118	47400
5	148	49198
6	177	50416
7	207	51571
8	236	52398
9	255	50913
10	280	50654
11	302	50157
12	330	50512
13	356	50563
14	380	50342
15	409	50827
16	427	49923
17	452	49844
18	470	49062
19	494	48964
20	512	48293
21	538	48376
22	562	48331
23	592	48759
24	620	49014
25	644	48896
26	672	49137
27	691	48726
28	715	48637
29	738	48466
30	764	48549
31	797	49046
32	823	49096
33	848	49041
34	863	48497
35	890	48568
36	919	48782
37	943	48718
38	971	48831
39	995	48792
40	1025	49014
41	1055	49226
42	1079	49145
43	1107	49214
44	1129	49089
45	1159	49234
46	1181	49112
47	1206	49063
48	1229	48935
49	1252	48831
50	1270	48538
51	1292	48412
52	1321	48555
53	1345	48505
54	1368	48398
55	1393	48380
56	1420	48406
57	1445	48400
58	1472	48426
59	1495	48348
60	1524	48464
61	1554	48603
62	1579	48559
63	1609	48689
64	1632	48599
65	1655	48502
66	1676	48376
67	1699	48299
68	1721	48180
69	1740	47996
70	1763	47920
71	1786	47843
72	1809	47756
73	1833	47717
74	1860	47743
75	1890	47850
76	1919	47939
77	1949	48037
78	1972	47953
79	1997	47930
80	2026	48004
81	2049	47936
82	2072	47868
83	2095	47794
84	2122	47819
85	2150	47858
86	2172	47774
87	2195	47704
88	2218	47635
89	2241	47573
90	2264	47502
91	2287	47440
92	2312	47409
93	2334	47334
94	2358	47297
95	2382	47244
96	2405	47199
97	2428	47133
98	2459	47220
99	2478	47097
100	2505	47111
101	2530	47089
102	2555	47064
103	2578	47009
104	2601	46955
105	2620	46815
106	2645	46810
107	2663	46665
108	2691	46686
109	2714	46634
110	2737	46583
111	2769	46694
112	2796	46701
113	2821	46682
114	2845	46633
115	2870	46624
116	2893	46562
117	2916	46513
118	2943	46533
119	2965	46462
120	2988	46403
121	3012	46376
122	3031	46262
123	3049	46131
124	3080	46208
125	3104	46177
126	3137	46268
127	3155	46145
128	3181	46141
129	3209	46160
130	3234	46142
131	3260	46145
132	3292	46212
133	3314	46162
134	3337	46105
135	3365	46132
136	3382	46000
137	3410	46016
138	3435	45992
139	3462	45996
140	3484	45935
141	3508	45902
142	3533	45887
143	3561	45908
144	3591	45947
145	3618	45950
146	3653	46051
147	3688	46162
148	3719	46204
149	3746	46201
150	3773	46211
151	3804	46255
152	3822	46143
153	3839	46027
154	3870	46070
155	3894	46031
156	3911	45918
157	3942	45962
158	3972	45993
159	3999	45994
160	4023	45955
161	4051	45965
162	4069	45859
163	4092	45820
164	4114	45755
165	4138	45719
166	4165	45723
167	4193	45725
168	4222	45743
169	4246	45714
170	4275	45727
171	4300	45700
172	4325	45685
173	4351	45663
174	4373	45613
175	4402	45627
176	4427	45599
177	4453	45588
178	4483	45608
179	4510	45607
180	4528	45510
181	4546	45413
182	4571	45385
183	4598	45389
184	4617	45303
185	4636	45217
186	4655	45137
187	4674	45056
188	4701	45045
189	4727	45038
190	4753	45017
191	4784	45050
192	4811	45051
193	4830	44966
194	4855	44940
195	4882	44941
196	4907	44914
197	4932	44888
198	4959	44880
199	4987	44885
200	5014	44878
201	5030	44775
202	5060	44794
203	5087	44791
204	5112	44764
205	5136	44730
206	5165	44745
207	5194	44753
208	5215	44696
209	5235	44625
210	5263	44627
211	5292	44638
212	5323	44664
213	5347	44630
214	5368	44570
215	5385	44480
216	5415	44496
217	5440	44473
218	5470	44486
219	5496	44475
220	5526	44483
221	5554	44482
222	5582	44483
223	5604	44439
224	5632	44433
225	5661	44436
226	5685	44410
227	5704	44337
228	5734	44345
229	5758	44317
230	5788	44331
231	5816	44324
232	5845	44329
233	5880	44383
234	5910	44390
235	5935	44368
236	5962	44354
237	5992	44364
238	6014	44316
239	6037	44272
240	6060	44236
241	6083	44194
242	6108	44166
243	6136	44159
244	6163	44150
245	6187	44118
246	6220	44145
247	6242	44098
248	6265	44063
249	6296	44078
250	6327	44091
251	6366	44158
252	6401	44203
253	6426	44176
254	6456	44184
255	6486	44190
256	6515	44186
257	6546	44200
258	6567	44147
259	6594	44129
260	6627	44157
261	6660	44180
262	6690	44186
263	6717	44174
264	6742	44144
265	6771	44140
266	6799	44131
267	6834	44169
268	6865	44177
269	6894	44175
270	6922	44169
271	6954	44182
272	6982	44170
273	7013	44182
274	7045	44196
275	7075	44193
276	7102	44176
277	7127	44152
278	7156	44143
279	7178	44093
280	7215	44141
281	7243	44127
282	7271	44118
283	7302	44122
284	7332	44123
285	7360	44111
286	7388	44096
287	7414	44077
288	7443	44071
289	7470	44049
290	7497	44032
291	7527	44032
292	7553	44004
293	7575	43957
294	7606	43963
295	7632	43936
296	7659	43921
297	7691	43930
298	7717	43904
299	7740	43863
300	7766	43838
301	7794	43825
302	7823	43816
303	7849	43794
304	7881	43798
305	7903	43753
306	7931	43738
307	7953	43693
308	7978	43664
309	8001	43620
310	8030	43613
311	8062	43618
312	8085	43581
313	8114	43570
314	8142	43555
315	8164	43509
316	8186	43464
317	8212	43435
318	8236	43403
319	8258	43356
320	8280	43309
321	8301	43260
322	8323	43213
323	8344	43166
324	8370	43139
325	8392	43097
326	8415	43055
327	8437	43012
328	8460	42971
329	8486	42945
330	8513	42927
331	8536	42887
332	8559	42846
333	8581	42803
334	8603	42760
335	8625	42716
336	8647	42673
337	8669	42627
338	8690	42582
339	8712	42537
340	8734	42493
341	8755	42448
342	8777	42403
343	8799	42360
344	8821	42315
345	8842	42271
346	8868	42248
347	8897	42235
348	8924	42216
349	8945	42172
350	8967	42130
351	8989	42087
352	9011	42045
353	9033	42003
354	9055	41960
355	9077	41918
356	9099	41877
357	9124	41850
358	9146	41810
359	9169	41771
360	9191	41731
361	9221	41724
362	9243	41685
363	9265	41645
364	9288	41605
365	9310	41566
366	9337	41548
367	9360	41509
368	9382	41470
369	9404	41432
370	9427	41392
371	9449	41352
372	9471	41314
373	9494	41276
374	9516	41239
375	9539	41202
376	9561	41164
377	9583	41123
378	9605	41084
379	9627	41045
380	9650	41006
381	9671	40966
382	9694	40928
383	9716	40889
384	9738	40851
385	9760	40812
386	9782	40774
387	9804	40735
388	9831	40714
389	9853	40678
390	9876	40641
391	9898	40603
392	9920	40564
